implementation	R1	R2	R3	R4	R5	R6	R7	R8	I1	I2	I3	I4	I5	I6	I7	I8	A1	A2	A3	A4	A5	A6	A7	A8	S1	S2	S3	S4	S5	S6	S7	S8	E1	E2	E3	E4	E5	E6	E7	E8	C1	C2	C3	C4	C5	C6	C7	C8	accuracy	elapse	country	fromsearch	age	gender
2	1	1	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1	5	1	2	5	1	1	1	5	5	5	1	4	4	4	3	1	1	2	1	2	2	1	3	1	1	1	1	1	3	1	-1	90	130	CA	0	-1	-1
2	4	2	2	2	2	3	2	3	3	3	1	2	1	3	2	4	4	4	5	5	5	4	2	5	2	3	1	4	2	2	3	2	2	1	2	2	2	3	3	2	3	2	3	3	3	3	3	2	95	162	US	0	-1	-1
2	1	1	1	1	1	1	1	1	4	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1	2	1	5	1	4	1	1	1	5	1	1	4	4	1	3	1	1	1	1	1	1	1	1	1	85	160	US	1	-1	-1
2	1	1	1	1	1	2	1	1	4	3	2	4	1	4	2	2	3	2	2	3	1	3	2	1	2	3	4	4	4	3	3	4	2	1	2	2	2	2	3	2	1	1	1	2	2	2	1	1	90	185	US	0	-1	-1
2	1	1	4	1	2	1	1	1	1	1	1	1	2	1	1	1	3	5	4	2	5	1	5	5	5	3	1	4	4	4	4	2	5	5	5	-1	5	5	1	5	1	5	1	2	3	1	2	1	100	130	PH	1	-1	-1
2	1	3	4	1	1	1	1	2	4	1	1	1	1	3	1	1	4	5	4	5	5	4	1	3	1	5	3	2	3	3	2	4	1	1	5	3	4	3	1	3	1	1	1	1	1	3	2	1	80	144	BO	0	-1	-1
2	3	3	2	3	2	4	3	2	3	4	4	3	2	3	-1	3	3	4	4	2	3	4	2	3	4	4	4	3	4	3	3	2	2	2	2	2	4	3	3	4	2	3	3	3	4	-1	3	3	70	268	LB	1	-1	-1
2	3	1	1	2	1	1	1	1	4	3	4	3	3	4	4	1	1	1	2	1	-1	3	1	1	3	3	4	2	4	1	1	3	1	2	2	1	2	2	1	3	1	3	3	3	2	1	2	2	80	313	US	0	-1	-1
2	1	1	4	1	1	4	1	1	4	4	3	4	4	3	1	1	2	1	5	4	4	3	1	4	1	1	1	4	1	1	1	1	1	1	4	4	4	1	1	4	1	1	1	1	1	1	1	1	90	127	RS	0	-1	-1
2	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	3	3	1	1	1	1	1	4	1	5	3	1	3	5	3	5	5	5	5	5	3	95	143	US	1	-1	-1
2	1	2	1	2	1	1	1	1	5	3	2	3	3	2	4	4	3	4	4	3	5	3	4	5	4	5	1	1	4	3	3	3	2	3	2	2	5	3	2	4	2	1	2	2	1	1	1	2	85	131	US	0	-1	-1
2	3	1	1	4	1	4	1	3	5	3	3	4	4	4	4	4	1	5	5	5	5	4	5	5	1	3	4	5	5	1	1	1	1	1	2	1	4	1	1	4	1	1	1	1	3	4	1	1	90	195	US	1	-1	-1
2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	3	1	1	3	5	4	2	2	4	4	3	5	5	5	5	1	2	2	3	3	2	2	1	1	3	2	2	3	2	1	3	3	95	303	US	0	-1	-1
2	4	4	1	1	1	3	4	3	5	4	3	1	3	3	3	1	3	3	1	2	3	4	4	1	5	2	4	5	2	1	5	1	1	1	1	4	1	1	1	1	1	1	1	1	1	1	1	1	90	481	AE	1	-1	-1
2	1	1	1	1	1	1	1	1	4	3	3	4	4	3	4	3	4	3	3	4	4	3	2	4	4	4	3	3	4	3	4	1	1	1	1	1	3	1	2	2	3	2	1	2	2	2	2	2	90	148	NZ	1	-1	-1
2	2	1	2	1	1	2	2	1	3	4	3	4	3	4	3	4	3	3	3	4	4	4	4	3	2	1	2	4	2	3	4	2	2	1	2	2	4	2	3	3	1	1	2	1	4	3	4	3	70	124	GB	1	-1	-1
2	2	1	1	2	3	4	1	3	4	5	5	4	5	5	5	5	5	4	5	5	4	5	1	5	4	4	5	4	5	1	5	4	2	4	4	5	4	5	1	2	3	2	3	4	4	3	3	2	85	200	CA	1	-1	-1
2	3	4	3	1	2	5	2	2	4	5	5	3	3	3	2	4	2	2	2	2	4	4	4	5	1	2	1	3	2	1	2	1	1	1	2	1	3	1	2	-1	1	1	1	2	2	1	3	2	85	165	US	1	-1	-1
2	1	1	3	3	2	3	3	3	2	3	3	4	3	3	3	3	5	5	4	5	5	5	5	3	5	4	5	3	5	3	3	3	5	3	5	4	5	4	4	3	2	2	2	3	5	4	4	3	75	236	CA	1	-1	-1
2	4	4	5	2	4	4	2	4	3	4	3	2	2	2	2	2	2	3	3	3	4	2	4	4	3	5	3	4	2	3	2	4	1	2	3	2	4	2	2	4	4	5	3	4	4	3	2	4	75	245	US	1	-1	-1
2	3	3	2	2	2	2	3	2	5	2	2	2	2	2	2	2	3	5	5	3	5	3	2	4	5	4	3	3	3	3	2	2	3	4	3	5	4	5	3	4	2	2	2	1	1	2	3	2	85	743	CA	1	-1	-1
2	1	1	1	2	1	1	2	1	1	5	4	3	2	4	4	5	3	5	3	4	5	4	1	4	3	5	1	1	2	3	3	4	4	2	4	1	1	1	2	2	3	1	1	1	5	1	4	1	80	181	CA	1	-1	-1
2	1	3	1	1	1	4	1	4	4	4	2	2	2	3	2	3	2	5	3	4	4	4	3	4	4	3	5	4	5	3	3	4	1	4	4	3	3	2	2	3	3	4	2	2	3	4	1	1	75	211	US	0	-1	-1
2	3	1	3	3	3	2	2	2	3	4	4	2	2	2	2	2	1	1	4	4	1	2	3	3	4	4	2	4	4	3	2	1	4	2	4	3	4	3	4	2	3	3	3	3	2	2	2	2	95	170	US	1	-1	-1
2	2	1	1	1	2	2	2	2	4	5	2	3	2	3	3	2	3	2	4	4	4	3	4	3	5	3	4	4	3	4	4	1	3	1	3	3	3	2	4	1	4	3	2	4	3	3	3	2	90	127	US	0	-1	-1
2	2	2	2	3	2	2	2	3	3	3	3	3	3	2	3	3	4	3	4	3	4	3	3	4	3	3	2	4	1	3	3	2	4	2	4	3	4	3	4	3	2	2	2	2	4	2	2	3	70	397	GB	1	-1	-1
2	4	2	3	2	2	4	2	3	3	4	4	3	3	4	3	3	4	4	4	5	4	5	5	4	5	5	4	4	5	4	4	4	3	2	3	3	2	3	2	4	1	2	2	1	2	3	2	1	100	691	US	0	-1	-1
2	1	1	1	1	1	3	1	1	5	5	4	1	2	4	1	1	1	3	3	2	2	3	3	2	3	5	4	5	5	2	4	4	1	1	1	1	1	1	4	1	1	1	1	1	1	1	1	1	99	148	US	1	-1	-1
2	1	1	1	1	2	2	2	1	1	4	5	1	1	4	1	5	3	4	5	4	5	5	1	3	5	2	3	1	3	2	3	2	5	2	4	1	5	4	1	4	2	3	2	5	2	3	2	2	90	179	CA	0	-1	-1
2	4	2	1	2	2	1	2	1	2	2	2	1	2	1	2	2	1	2	5	1	4	1	1	4	3	2	3	1	4	1	1	1	1	1	2	3	1	2	2	1	4	4	4	4	4	4	4	4	90	129	CA	0	-1	-1
2	3	1	2	3	1	2	2	2	4	4	4	3	4	4	4	3	4	5	5	5	5	5	5	5	3	4	3	4	3	4	4	4	3	4	3	4	3	4	3	3	2	4	3	4	2	2	2	2	100	866	US	1	-1	-1
2	1	2	1	2	1	3	2	3	2	4	2	2	1	2	1	2	3	4	5	3	5	5	4	4	2	5	2	3	3	4	4	2	1	4	2	1	3	3	1	4	1	4	1	2	4	3	1	1	95	187	US	0	-1	-1
2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	4	4	4	3	2	4	4	5	2	4	5	4	4	3	2	4	3	3	4	4	3	-1	2	1	3	2	2	3	2	3	80	101	US	1	-1	-1
2	5	2	3	3	2	2	2	1	3	2	1	4	1	1	1	1	1	1	1	1	1	1	4	1	2	1	2	3	1	1	1	1	2	1	5	1	4	4	3	1	3	2	2	3	2	2	4	3	100	153	FI	1	-1	-1
2	1	2	1	1	1	2	2	2	1	3	2	1	2	3	2	2	3	4	4	2	2	3	1	4	4	5	5	4	5	5	5	4	2	3	3	3	4	3	1	3	2	1	1	1	3	2	2	1	75	207	US	1	-1	-1
2	3	3	3	4	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	4	3	3	3	3	4	4	3	3	3	4	3	4	3	3	3	4	3	3	3	4	3	3	60	808	MY	0	-1	-1
2	2	3	2	2	1	4	1	4	2	4	2	4	3	2	1	1	4	5	2	4	2	4	4	4	4	3	3	5	4	5	4	2	4	1	5	1	4	4	2	4	1	2	1	2	3	3	2	2	75	151	LT	0	-1	-1
2	5	1	1	2	1	1	3	1	4	4	4	4	3	3	3	3	4	3	3	2	1	3	1	3	5	3	1	4	3	2	2	2	1	2	3	3	3	3	1	2	4	4	3	3	3	4	3	3	70	318	US	1	-1	-1
2	4	1	3	1	1	1	3	2	5	5	5	3	5	5	4	4	1	3	5	4	5	3	3	3	4	5	5	4	5	5	5	5	4	3	5	5	5	3	5	4	2	2	2	3	3	3	4	3	70	157	BN	1	-1	-1
2	1	1	1	1	1	1	1	1	3	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	4	5	5	3	5	5	5	3	2	2	4	3	3	3	2	2	2	1	3	3	1	1	2	1	99	90	US	1	-1	-1
2	4	3	3	4	3	5	4	3	5	5	5	5	4	4	4	3	1	1	1	1	1	2	2	1	3	4	4	5	4	3	5	3	1	2	3	2	3	3	3	4	5	4	3	3	5	5	3	3	80	274	GB	1	-1	-1
2	3	1	1	3	1	3	1	1	1	4	1	1	2	3	1	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1	1	2	1	4	4	5	4	3	3	75	119	US	1	-1	-1
2	1	1	1	3	1	2	1	1	5	2	3	3	4	3	4	3	5	4	1	3	3	4	1	1	5	5	3	2	4	1	5	3	3	1	3	2	2	4	3	5	3	1	3	1	1	4	1	1	70	394	US	0	-1	-1
2	1	3	1	1	2	2	1	3	1	3	1	3	2	2	1	1	5	5	3	3	2	5	-1	5	5	3	1	2	1	2	2	1	1	1	5	3	2	1	4	1	3	1	3	1	1	1	1	1	90	256	US	1	-1	-1
2	1	1	1	1	1	1	1	1	5	1	1	5	4	2	4	1	4	5	4	4	5	5	4	4	4	4	2	3	2	4	4	1	1	1	1	1	2	2	1	5	1	1	1	1	1	1	1	1	75	480	ZA	0	-1	-1
2	1	1	1	1	1	4	1	1	5	5	5	4	5	5	5	3	1	1	1	1	1	4	1	1	1	4	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1	1	100	171	CA	0	-1	-1
2	1	1	3	3	1	4	1	4	3	2	2	4	3	5	4	4	1	1	4	4	3	3	1	3	4	2	1	1	1	1	1	1	1	2	2	1	4	4	3	3	1	1	2	2	4	3	1	3	50	252	US	1	-1	-1
2	5	5	2	2	3	4	2	5	5	5	5	2	5	5	3	4	1	2	5	3	2	2	5	5	1	5	4	5	5	3	4	5	3	2	2	2	3	3	4	3	3	3	3	2	2	2	2	3	90	232	CA	1	-1	-1
2	1	1	1	3	3	1	3	1	1	3	3	3	3	3	3	3	3	3	3	5	3	5	1	3	3	3	1	1	1	1	3	1	1	1	1	1	3	1	1	1	1	1	3	1	3	3	1	1	60	444	MY	0	-1	-1
2	4	4	1	4	1	4	3	4	2	3	1	2	1	1	1	2	1	3	4	3	4	2	3	4	5	3	1	4	3	1	3	1	2	3	4	4	5	4	2	4	2	2	2	4	2	1	3	3	80	477	AU	1	-1	-1
2	1	1	3	5	1	2	1	1	4	4	4	5	1	4	1	4	4	3	3	5	4	5	4	4	5	4	5	4	5	2	3	3	1	1	3	1	2	3	3	4	1	1	1	1	2	3	1	1	90	270	CA	1	-1	-1
2	2	1	1	2	1	1	2	1	2	1	1	2	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	2	2	1	1	50	201	US	1	-1	-1
2	3	4	2	4	2	4	3	3	5	5	5	4	5	5	3	5	4	4	2	5	5	5	3	4	4	3	3	4	4	4	4	3	1	1	2	2	2	2	1	3	4	3	2	3	5	3	2	3	95	217	US	0	-1	-1
2	1	3	1	1	1	1	1	1	3	4	4	5	3	4	3	4	4	5	4	5	5	5	4	5	3	4	2	3	3	3	3	3	1	1	1	2	1	1	4	3	1	1	1	1	1	1	1	1	90	123	US	0	-1	-1
2	1	1	1	1	1	1	1	1	4	1	1	2	2	1	2	1	4	4	4	3	4	5	2	2	4	5	2	3	1	1	3	3	2	3	4	3	4	3	1	3	1	1	1	1	1	1	1	1	98	248	US	1	-1	-1
2	3	2	3	4	1	2	1	2	3	3	3	2	3	3	3	4	3	5	3	2	5	3	1	3	1	3	2	1	2	1	2	1	1	1	2	1	4	2	2	1	4	1	1	2	1	3	1	2	95	30837	DE	0	-1	-1
2	5	3	5	1	1	4	2	3	5	5	1	1	1	2	1	1	1	3	1	3	3	5	4	1	5	3	1	5	1	2	1	2	1	2	1	1	5	2	1	1	5	3	1	1	4	3	1	1	90	246	US	1	-1	-1
2	1	2	5	2	1	3	1	2	4	3	5	4	4	4	4	5	1	5	4	4	4	4	4	3	3	3	4	3	2	2	2	3	3	2	3	2	4	4	2	5	1	2	1	1	4	1	2	1	100	117	SG	0	-1	-1
2	4	1	1	4	3	3	4	1	1	3	3	4	2	3	1	4	1	1	3	5	5	3	2	3	2	5	3	4	3	5	5	3	1	4	2	3	4	4	1	4	1	4	4	3	4	5	1	3	75	162	US	0	-1	-1
2	1	3	1	3	1	3	2	1	5	4	5	3	4	4	4	4	2	3	5	5	5	5	4	5	3	3	1	2	2	4	2	1	2	3	3	3	3	4	2	3	1	2	1	1	3	4	1	1	90	193	AU	1	-1	-1
2	1	1	1	1	1	1	1	1	2	4	1	1	1	1	1	1	5	4	1	4	5	5	1	1	3	4	3	1	5	3	1	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	95	100	US	0	-1	-1
2	3	4	3	2	3	3	4	3	4	4	3	2	3	3	3	4	3	1	1	3	3	3	3	1	3	3	3	4	2	2	3	1	2	1	3	2	3	2	3	2	4	3	4	4	4	4	3	4	75	194	CA	1	-1	-1
2	4	1	4	1	1	4	1	-1	4	4	4	5	4	4	4	4	1	4	2	4	4	2	5	4	4	4	4	4	4	2	2	2	2	1	4	5	5	4	2	2	2	1	2	2	1	3	2	2	80	158	GB	0	-1	-1
2	3	4	1	1	1	4	1	4	5	4	5	5	5	4	4	4	4	4	5	5	4	4	1	4	5	5	-1	5	5	5	5	5	1	1	4	1	3	1	3	3	3	3	4	3	3	4	3	2	90	152	US	0	-1	-1
2	1	1	1	1	1	1	1	1	4	1	1	3	1	1	1	1	1	1	1	1	1	4	1	4	1	4	3	1	4	4	4	2	1	1	1	1	1	2	2	3	1	1	1	1	1	1	1	1	87	258	US	0	-1	-1
2	1	1	1	4	1	1	1	1	5	2	2	4	4	1	4	2	1	2	1	2	5	1	5	1	2	2	1	1	1	1	1	1	3	2	5	1	5	5	5	5	4	1	2	2	4	1	5	3	50	179	CA	0	-1	-1
2	1	4	2	1	3	4	3	3	4	5	5	1	5	4	3	2	3	3	2	4	5	4	4	2	5	4	3	1	4	4	4	2	3	3	2	5	3	3	2	3	1	2	1	1	2	1	2	2	80	192	CN	1	-1	-1
2	3	1	1	2	1	2	2	1	3	3	2	3	2	2	2	2	1	3	2	2	2	3	2	3	5	4	5	3	5	4	4	4	2	3	4	2	4	3	3	4	3	3	4	3	3	3	3	3	100	211	US	1	-1	-1
2	2	2	1	1	1	2	1	1	2	3	4	1	1	5	1	4	1	3	5	3	4	4	4	5	2	2	1	3	2	4	4	1	1	2	4	4	3	4	3	3	1	1	1	1	1	2	1	1	95	255	NZ	0	-1	-1
2	4	3	3	4	4	3	3	3	2	2	2	4	3	3	3	4	1	2	3	4	2	4	3	3	1	4	4	3	3	2	2	3	2	3	3	3	3	2	2	2	3	3	4	4	4	4	3	4	80	163	SI	0	-1	-1
2	4	4	1	1	1	3	1	3	5	4	4	5	4	3	4	3	3	2	3	2	1	4	1	2	4	4	4	5	5	1	4	4	1	1	2	1	2	1	1	3	3	1	1	2	3	3	3	1	100	173	US	0	-1	-1
2	2	2	1	1	1	1	2	1	2	4	4	1	4	4	2	1	4	5	4	5	5	5	5	4	4	5	4	2	5	4	5	2	2	5	2	4	3	5	4	3	2	3	2	2	3	4	2	4	100	103	NO	0	-1	-1
2	5	1	2	1	2	1	1	1	3	3	3	2	3	2	3	1	2	4	4	3	3	1	3	3	1	-1	2	2	1	2	3	1	2	4	4	2	4	4	3	5	2	2	1	3	1	1	1	2	99	221	GB	0	-1	-1
2	4	4	3	4	2	4	2	3	5	5	5	4	5	5	5	4	3	2	4	3	4	4	3	3	4	5	1	3	2	4	4	2	3	3	3	4	3	1	2	4	3	2	2	3	3	2	3	4	80	535	MY	1	-1	-1
2	1	1	1	1	1	1	1	1	4	3	2	4	3	1	4	1	1	1	4	2	1	1	1	1	3	3	4	3	3	1	1	1	4	3	1	1	2	2	3	1	3	3	1	1	1	1	1	1	100	149	US	0	-1	-1
2	3	4	2	2	3	2	4	2	4	4	2	1	3	2	2	2	3	2	3	4	4	4	1	4	2	4	1	2	1	1	2	1	1	4	1	1	1	2	1	4	1	4	4	1	5	4	1	3	85	174	US	0	-1	-1
2	3	2	1	3	1	3	4	2	5	5	4	2	2	5	4	5	3	5	5	5	5	5	4	5	4	3	2	3	3	2	3	1	1	2	2	4	1	3	1	5	1	4	2	3	1	3	1	2	95	162	US	0	-1	-1
2	2	3	2	3	2	3	2	2	3	4	2	2	3	3	2	3	2	4	5	3	5	2	4	3	1	3	2	2	2	3	3	3	2	2	2	2	2	4	2	4	3	2	2	2	2	3	2	2	50	205	US	1	-1	-1
2	1	1	1	1	1	1	1	1	5	4	4	4	4	2	3	1	5	5	1	4	4	2	2	2	4	3	5	1	5	3	3	3	3	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	100	117	US	0	-1	-1
2	1	1	1	1	1	1	1	1	1	5	1	1	1	3	1	1	1	1	3	1	1	1	1	1	1	4	1	1	1	1	1	1	1	1	1	1	2	1	1	1	4	4	3	3	3	2	1	3	100	105	US	0	-1	-1
2	2	4	1	2	2	3	1	3	3	3	1	1	1	4	3	2	4	5	4	5	5	4	4	5	5	5	4	5	5	5	5	1	2	4	3	5	2	4	3	4	1	2	1	1	1	3	1	1	98	234	US	0	-1	-1
2	3	1	1	1	1	1	3	1	1	5	3	1	1	3	1	1	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	1	3	1	3	2	3	1	3	3	5	3	3	1	5	1	3	100	286	US	0	-1	-1
2	1	1	1	1	1	1	1	1	3	3	3	1	1	3	1	1	3	3	3	3	5	3	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	90	141	US	0	-1	-1
2	3	3	3	5	3	3	3	3	4	4	4	5	4	4	5	4	4	4	5	4	4	5	2	4	3	3	2	2	4	1	4	3	1	3	2	1	1	4	1	4	1	4	4	3	5	4	3	3	80	272	US	0	-1	-1
2	1	1	1	1	1	1	1	1	4	1	1	1	1	3	1	1	4	4	3	4	5	4	3	3	4	3	3	2	3	3	3	1	1	1	1	2	1	1	1	3	1	1	1	1	1	1	1	1	90	161	US	0	-1	-1
2	3	4	2	2	2	4	2	3	3	4	5	2	2	3	3	2	1	1	1	2	2	2	1	2	5	4	2	2	2	2	4	2	2	2	3	2	4	3	2	3	4	2	2	4	2	4	3	3	75	161	US	1	-1	-1
2	3	3	1	3	-1	1	2	1	4	4	4	3	4	3	3	3	1	1	1	3	2	3	4	1	4	3	3	4	3	1	1	2	4	1	3	4	3	4	2	4	1	1	1	2	4	-1	1	1	90	160	US	1	-1	-1
2	1	2	1	2	1	1	1	1	3	3	1	2	1	3	1	3	4	4	4	4	2	5	4	4	4	5	5	4	5	2	5	5	1	3	3	3	2	4	1	2	1	1	2	2	2	2	2	1	96	431	US	1	-1	-1
2	1	1	1	1	1	3	1	3	3	3	3	3	1	3	1	2	1	2	3	4	4	4	3	2	4	3	3	3	4	3	3	2	2	2	2	1	2	3	3	2	1	1	2	1	1	2	2	1	90	224	US	0	-1	-1
2	3	1	2	1	2	2	2	1	4	2	2	1	2	5	2	3	3	5	5	1	3	3	1	3	3	5	3	2	1	2	2	2	3	1	4	2	4	2	1	1	4	3	4	2	4	2	1	1	100	187	MY	1	-1	-1
2	3	4	3	2	2	3	3	3	3	2	2	5	2	2	2	1	3	4	4	4	5	5	2	4	4	3	1	3	2	2	3	2	4	1	4	1	3	2	4	4	1	2	1	1	2	1	1	1	90	292	MX	0	-1	-1
